SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,,change
DPSCLTD, EQ, 01-Oct-2021,15.8,15.5,15.7,15.3,15.5,15.5,15.46,31754,4.91,300,20751,65.35,,-0.3
DPWIRES, EQ, 01-Oct-2021,225.55,232.8,236.8,226.05,230.05,230.55,232.71,77581,180.54,1639,37838,48.77,,5
DRCSYSTEMS, EQ, 01-Oct-2021,264.15,277.9,290.55,267.9,280.2,277.5,282.63,5596,15.82,354,1886,33.7,,13.35
DREDGECORP, EQ, 01-Oct-2021,356,354.7,364.2,352.1,353,352.95,357.18,82164,293.48,3954,20934,25.48,,-3.05
DRL, SM, 01-Oct-2021,14.35,15.05,15.05,15.05,15.05,15.05,15.05,12000,1.81,2,6000,50,,0.7
DRREDDY, EQ, 01-Oct-2021,4880.7,4853,4970,4852.25,4940.95,4955.85,4924.4,342133,16847.99,30810,124499,36.39,,75.15
DSML, SM, 01-Oct-2021,45.95,44,48.2,43.7,44.5,44.65,44.88,216000,96.95,25,132000,61.11,,-1.3
DSSL, EQ, 01-Oct-2021,148.65,149.3,149.3,144,146,146.05,146.43,21596,31.62,705,13298,61.58,,-2.6
DTIL, EQ, 01-Oct-2021,260.4,260.4,263.9,257,261.45,260.7,260.32,8495,22.11,609,5085,59.86,,0.3
DUCON, BE, 01-Oct-2021,10.05,10.15,10.25,9.8,10.15,10.1,10.07,40852,4.11,144, -, -,,0.05
DUDIGITAL, SM, 01-Oct-2021,115.75,121.5,121.5,110,110.5,110.5,114.55,98000,112.26,49,60000,61.22,,-5.25
DVL, EQ, 01-Oct-2021,280.7,279,280.7,270.25,279,278.45,274.76,39856,109.51,1619,20997,52.68,,-2.25
DWARKESH, EQ, 01-Oct-2021,70.7,70.65,73,70.5,72.8,72.15,71.66,3322639,2381.03,14921,1359727,40.92,,1.45
DYNAMATECH, EQ, 01-Oct-2021,2986.35,2986.35,3257.05,2971.55,3147,3139.8,3166.82,83205,2634.95,14529,31903,38.34,,153.45
DYNPRO, EQ, 01-Oct-2021,536.3,570,643.55,562.05,643.55,643.55,616.12,718153,4424.67,42223,276770,38.54,,107.25
E2E, SM, 01-Oct-2021,42.5,43.5,44.6,43.5,44.6,44.6,44.23,6000,2.65,3,6000,100,,2.1
EASEMYTRIP, EQ, 01-Oct-2021,594.35,593.4,615,591,604.1,603.15,603.92,506467,3058.64,14084,246140,48.6,,8.8
EASTSILK, EQ, 01-Oct-2021,3.65,3.6,3.8,3.5,3.65,3.6,3.66,90818,3.33,131,40393,44.48,,-0.05
EASUNREYRL, BZ, 01-Oct-2021,2.8,2.9,2.9,2.7,2.9,2.8,2.8,4281,0.12,12, -, -,,0
EBANK, EQ, 01-Oct-2021,4225.99,4204,4204,4000.1,4193.23,4193.23,4110.15,15,0.62,9,6,40,,-32.76
EBBETF0423, EQ, 01-Oct-2021,1145.07,1145.08,1146.5,1145.05,1146.5,1146.42,1145.85,2717,31.13,74,1723,63.42,,1.35
EBBETF0425, EQ, 01-Oct-2021,1068.71,1069,1069.99,1067.05,1069.49,1069.48,1069.02,6731,71.96,67,6298,93.57,,0.77
EBBETF0430, EQ, 01-Oct-2021,1185.8,1208,1208,1181.15,1184.89,1184.34,1184.06,9093,107.67,256,7484,82.31,,-1.46
EBBETF0431, EQ, 01-Oct-2021,1062.01,1060,1063.24,1060,1062,1061.59,1062.39,19818,210.54,157,18581,93.76,,-0.42
EC2RG, MF, 01-Oct-2021,13,13,13,13,13,13,13,22000,2.86,3,22000,100,,0
ECLERX, EQ, 01-Oct-2021,2164.05,2131.2,2213.95,2124.05,2207.8,2206.35,2177.28,64601,1406.54,6079,54120,83.78,,42.3
ECLFINANCE, NG, 01-Oct-2021,987,987,990,987,990,988.33,988.23,1056,10.44,14,1056,100,,1.33
ECLFINANCE, NI, 01-Oct-2021,990,952.9,990,952.9,985,985,983.82,243,2.39,14,233,95.88,,-5
ECLFINANCE, NJ, 01-Oct-2021,937.89,948,948,944.25,944.25,944.25,947.51,95,0.9,5,95,100,,6.36
ECLFINANCE, NK, 01-Oct-2021,894.95,899.97,900,895,897,899.45,899.68,1822,16.39,25,1739,95.44,,4.5
ECLFINANCE, NM, 01-Oct-2021,1072.8,1059.2,1061,1059.2,1060.88,1060.88,1060.24,164,1.74,6,164,100,,-11.92
ECLFINANCE, NO, 01-Oct-2021,1007.99,997,1005.1,997,1003,1003,1002.29,95,0.95,5,95,100,,-4.99
ECLFINANCE, NP, 01-Oct-2021,1058.03,1035,1050,1033.09,1050,1050,1044.44,275,2.87,7,275,100,,-8.03
ECLFINANCE, NQ, 01-Oct-2021,1300,1270.1,1270.1,1270.1,1270.1,1270.1,1270.1,10,0.13,1,10,100,,-29.9
ECLFINANCE, NR, 01-Oct-2021,1016.5,1016,1016.5,1015.65,1016.5,1016.5,1016.13,800,8.13,9,800,100,,0
ECLFINANCE, NS, 01-Oct-2021,1050.01,1040,1040,1035,1035,1038.18,1038.18,55,0.57,5,55,100,,-11.83
EDELWEISS, EQ, 01-Oct-2021,79.2,79,82.7,78.5,81.2,81.25,80.68,2270197,1831.6,13706,956890,42.15,,2.05
EDUCOMP, BZ, 01-Oct-2021,2.9,2.9,2.95,2.8,2.9,2.85,2.86,32954,0.94,86, -, -,,-0.05
EHFLNCD, N5, 01-Oct-2021,980,982,990,982,990,990,987.32,75,0.74,4,75,100,,10
EHFLNCD, N6, 01-Oct-2021,960,974.8,974.8,970,970.5,970.5,970.92,283,2.75,11,283,100,,10.5
EICHERMOT, EQ, 01-Oct-2021,2790.2,2787,2794.1,2752.2,2770.05,2772.45,2770.82,411006,11388.24,33618,125041,30.42,,-17.75
EIDPARRY, EQ, 01-Oct-2021,420.7,419.5,430,418,429.9,428.15,425.43,210879,897.14,7981,101257,48.02,,7.45
EIFFL, SM, 01-Oct-2021,112.45,117.9,117.9,117.9,117.9,117.9,117.9,800,0.94,1,800,100,,5.45
EIHAHOTELS, EQ, 01-Oct-2021,401.35,401,417,397.35,406,405.2,407.13,36494,148.58,2374,10804,29.6,,3.85
EIHOTEL, EQ, 01-Oct-2021,129.35,128.9,131.5,127,128,128.15,129.12,582746,752.43,6691,203285,34.88,,-1.2
EIMCOELECO, EQ, 01-Oct-2021,412.4,405.85,414.95,385.2,389.25,388.55,395.44,47737,188.77,3168,28722,60.17,,-23.85
EKC, EQ, 01-Oct-2021,112.05,108.25,117.65,108.25,117.65,117.65,115.5,322481,372.48,2974,170391,52.84,,5.6
ELECON, EQ, 01-Oct-2021,167.6,166.9,171.85,165.1,167.85,168.35,168.87,509830,860.93,10294,215586,42.29,,0.75
ELECTCAST, EQ, 01-Oct-2021,37.1,36.85,37.55,36.65,37.1,37.15,37.07,295687,109.6,1413,123904,41.9,,0.05
ELECTHERM, EQ, 01-Oct-2021,118.4,119.5,119.5,117.3,118.85,119.1,118.89,10334,12.29,296,7887,76.32,,0.7
ELGIEQUIP, EQ, 01-Oct-2021,205.45,205,205.4,202,203.15,203.15,203.37,71440,145.29,2092,37964,53.14,,-2.3
ELGIRUBCO, EQ, 01-Oct-2021,37.75,37.9,39.4,37.25,38.5,38.85,38.46,100513,38.66,576,46312,46.08,,1.1
EMAMILTD, EQ, 01-Oct-2021,574,569.9,579.5,568.65,569.9,569.95,572.35,487329,2789.22,14938,346753,71.15,,-4.05
EMAMIPAP, EQ, 01-Oct-2021,168.15,168.5,170.15,166.75,168.1,168.45,168.54,94120,158.63,3773,27518,29.24,,0.3
EMAMIREAL, EQ, 01-Oct-2021,73,72,73.85,71.35,72,72.3,72.32,41835,30.26,666,26053,62.28,,-0.7
EMBASSY, RR, 01-Oct-2021,339.07,337.5,342,336.51,341.19,340.36,340.4,504856,1718.52,16840,374706,74.22,,1.29
EMCO, BZ, 01-Oct-2021,1.9,1.95,1.95,1.85,1.9,1.9,1.91,45859,0.87,41, -, -,,0
EMKAY, EQ, 01-Oct-2021,113.7,113,116.05,113,113.7,114.55,114.52,37796,43.28,957,18863,49.91,,0.85
EMMBI, EQ, 01-Oct-2021,108.35,105.35,108.75,105.05,108,107.9,107.15,41894,44.89,1240,26462,63.16,,-0.45
ENDURANCE, EQ, 01-Oct-2021,1584.45,1578.6,1589.75,1550.05,1565,1564.45,1560.08,81412,1270.09,10109,38934,47.82,,-20
ENERGYDEV, EQ, 01-Oct-2021,9.8,10.1,10.25,9.5,10.25,10.25,9.98,231904,23.15,523,144146,62.16,,0.45
ENGINERSIN, EQ, 01-Oct-2021,78.75,78.6,79.9,77.65,78.05,78.2,78.67,3499295,2752.81,18468,1527398,43.65,,-0.55
ENIL, EQ, 01-Oct-2021,183.55,186.5,186.5,180,183.4,183,183.53,50072,91.9,1067,26743,53.41,,-0.55
EPL, EQ, 01-Oct-2021,239.65,239.65,241.55,238.25,239.55,239.45,240.18,74864,179.81,3902,31672,42.31,,-0.2
EQUITAS, EQ, 01-Oct-2021,121,121,122.8,119.9,120.4,120.2,121.27,561842,681.37,11628,422731,75.24,,-0.8
EQUITASBNK, EQ, 01-Oct-2021,62.2,61.95,62.4,61.2,61.75,61.6,61.71,361732,223.21,3354,194435,53.75,,-0.6
ERFLNCDI, N4, 01-Oct-2021,1002.2,1000.2,1000.2,1000.2,1000.2,1000.2,1000.2,35,0.35,2,35,100,,-2
ERFLNCDI, N5, 01-Oct-2021,900,900,905,895,905,905,902.13,300,2.71,11,300,100,,5
ERFLNCDI, N6, 01-Oct-2021,923.51,925,925,925,925,925,925,135,1.25,3,135,100,,1.49
ERIS, EQ, 01-Oct-2021,760.55,761.95,775,745.55,762,767.85,759.1,76610,581.55,8196,34036,44.43,,7.3
EROSMEDIA, EQ, 01-Oct-2021,21.45,21.45,21.95,21,21.4,21.4,21.41,447910,95.91,1435,288953,64.51,,-0.05
ESABINDIA, EQ, 01-Oct-2021,2196.45,2169.3,2205.85,2160.15,2177.05,2183.95,2179.06,1557,33.93,498,686,44.06,,-12.5
ESCORTS, EQ, 01-Oct-2021,1480.1,1463,1478.45,1427,1471.95,1471.95,1459.71,933091,13620.38,29835,165816,17.77,,-8.15
ESSARSHPNG, EQ, 01-Oct-2021,9.85,9.85,10.15,9.8,10,10,10,67411,6.74,349,51294,76.09,,0.15
ESTER, EQ, 01-Oct-2021,147.6,147.6,148.9,146,147,147.5,147.3,112647,165.93,3509,50057,44.44,,-0.1
EVEREADY, EQ, 01-Oct-2021,394.4,395,395.05,382.85,389.9,390.25,390.48,695900,2717.32,9989,353648,50.82,,-4.15
EVERESTIND, EQ, 01-Oct-2021,432.55,428,454,428,441.1,442.1,446.14,222264,991.6,11274,65484,29.46,,9.55
EXCEL, BE, 01-Oct-2021,3,3,3.1,2.95,3.05,2.95,2.99,18869,0.56,104, -, -,,-0.05
EXCELINDUS, EQ, 01-Oct-2021,1022.65,1027.8,1041.4,997.05,1015,1015,1026.12,18237,187.13,2356,6060,33.23,,-7.65
EXIDEIND, EQ, 01-Oct-2021,178.25,177.8,179.65,177.2,178.75,178.85,178.28,4047642,7216.08,28907,1254219,30.99,,0.6
EXPLEOSOL, BE, 01-Oct-2021,997.7,1032,1047,997.85,1028,1008.35,1022.53,10317,105.49,873, -, -,,10.65
EXXARO, EQ, 01-Oct-2021,155.7,153.5,155.7,152.05,153.5,152.85,153.73,234169,359.98,3537,136024,58.09,,-2.85
FACT, EQ, 01-Oct-2021,127.85,125.15,129.25,125.15,125.8,126.05,126.65,186309,235.95,4890,44109,23.68,,-1.8
FAIRCHEMOR, EQ, 01-Oct-2021,1856.25,1854.95,1947.8,1820,1934,1937.05,1898.4,27957,530.74,5310,14117,50.5,,80.8
FCL, EQ, 01-Oct-2021,126.35,125.9,132.3,125.1,128.2,129.4,129.06,865719,1117.32,13528,293741,33.93,,3.05
FCONSUMER, EQ, 01-Oct-2021,7.6,7.65,7.75,7.4,7.65,7.6,7.57,7898549,597.83,4884,2907416,36.81,,0
FCSSOFT, BE, 01-Oct-2021,1.3,1.3,1.3,1.25,1.3,1.3,1.27,3430793,43.64,2483, -, -,,0
FDC, EQ, 01-Oct-2021,349.4,345,350.9,343.05,347,346.2,346.65,73992,256.49,4508,40305,54.47,,-3.2
FEDERALBNK, EQ, 01-Oct-2021,84.3,83.95,84.3,82.7,83.25,83.15,83.41,10264738,8561.56,32732,2856520,27.83,,-1.15
FEL, EQ, 01-Oct-2021,8.95,9.1,9.15,8.8,8.95,9,9.01,709488,63.93,1132,558762,78.76,,0.05
FELDVR, EQ, 01-Oct-2021,11.7,11.7,11.95,11.5,11.75,11.75,11.69,14080,1.65,104,9810,69.67,,0.05
FIEMIND, EQ, 01-Oct-2021,1102.5,1108.6,1110,1090,1097.95,1099.6,1100.36,20820,229.1,2308,9456,45.42,,-2.9
FILATEX, EQ, 01-Oct-2021,103.5,103.2,107.7,102.05,106,104.5,104.68,1321741,1383.56,13034,583703,44.16,,1
FILDF2GP, MF, 01-Oct-2021,0.82,0.76,0.9,0.76,0.9,0.9,0.77,1528,0.01,3,1528,100,,0.08
FILDF2GPD, MF, 01-Oct-2021,0.71,0.75,0.75,0.75,0.75,0.75,0.75,770,0.01,1,770,100,,0.04
FINCABLES, EQ, 01-Oct-2021,487.1,490,490,475.6,479.4,478.55,481.08,253842,1221.19,7788,188428,74.23,,-8.55
FINEORG, EQ, 01-Oct-2021,3075.65,3069,3293.3,3042.2,3268.1,3266.35,3234.26,101714,3289.7,18621,28354,27.88,,190.7
FINPIPE, EQ, 01-Oct-2021,208.8,207.8,220,206.35,219,216,213.58,3765508,8042.55,41739,1834765,48.73,,7.2
FLEXITUFF, EQ, 01-Oct-2021,14.85,14.95,15.2,14.4,14.95,14.65,14.86,64473,9.58,207,28914,44.85,,-0.2
FLFL, EQ, 01-Oct-2021,58.95,58.15,58.95,57.5,58.95,58.55,58.2,100785,58.66,1064,52782,52.37,,-0.4
FLUOROCHEM, EQ, 01-Oct-2021,1911.35,1911.25,1974,1881,1945,1952.1,1944.68,208122,4047.31,13048,128426,61.71,,40.75
FMGOETZE, EQ, 01-Oct-2021,283.6,281.25,285.6,279.1,284.25,283.35,282.65,67198,189.94,2131,35436,52.73,,-0.25
FMNL, EQ, 01-Oct-2021,9.45,9.55,9.55,9.2,9.35,9.3,9.36,114426,10.71,289,73302,64.06,,-0.15
FORCEMOT, EQ, 01-Oct-2021,1469.9,1463,1485,1445,1452.95,1455.75,1461.73,51265,749.36,7209,9769,19.06,,-14.15
FORTIS, EQ, 01-Oct-2021,263.5,262,266.85,260.7,265.05,265.7,263.85,1435799,3788.39,12994,676713,47.13,,2.2
FOSECOIND, EQ, 01-Oct-2021,1470.05,1457.05,1471,1446,1465,1461.3,1460.07,1270,18.54,252,926,72.91,,-8.75
FRETAIL, EQ, 01-Oct-2021,51.85,51.85,52.7,50.6,52.5,52,51.39,1914474,983.9,11564,1093864,57.14,,0.15
FSC, EQ, 01-Oct-2021,75.5,76.95,76.95,73.65,74.3,74.25,74.47,44064,32.82,776,27021,61.32,,-1.25
FSL, EQ, 01-Oct-2021,195.5,195,197.55,193.3,195.2,195.15,195.2,1962124,3830.13,19862,624984,31.85,,-0.35
GABRIEL, EQ, 01-Oct-2021,153.65,151.05,158.5,149.6,155.2,155.6,155.37,1828156,2840.36,22535,679350,37.16,,1.95
GAEL, EQ, 01-Oct-2021,173.25,174,174,168.9,170.35,170.15,170.83,340246,581.26,4773,212140,62.35,,-3.1
GAIL, EQ, 01-Oct-2021,158.85,160.2,166.2,157.55,162.5,163.15,162.79,45803410,74563.07,215643,12050715,26.31,,4.3
GAL, EQ, 01-Oct-2021,2.25,2.25,2.3,2.2,2.25,2.25,2.24,312351,7,253,205931,65.93,,0
GALAXYSURF, EQ, 01-Oct-2021,3293.1,3325,3421,3294.45,3376,3392.1,3377.18,130562,4409.32,12510,94081,72.06,,99
GALLANTT, EQ, 01-Oct-2021,75.2,74.9,78.85,74.15,74.9,76,76.8,116826,89.73,2487,56316,48.21,,0.8
GALLISPAT, EQ, 01-Oct-2021,55.65,55.65,56.75,54.6,55.7,55.6,55.69,32546,18.12,592,16467,50.6,,-0.05
GANDHITUBE, EQ, 01-Oct-2021,452.95,453,461,448.6,454.9,454.1,455.49,5392,24.56,310,3297,61.15,,1.15
GANECOS, EQ, 01-Oct-2021,489.3,489.95,501.15,488.1,496,497.35,496.77,10284,51.09,734,6774,65.87,,8.05
GANESHBE, EQ, 01-Oct-2021,86.5,86.5,87.75,84.3,85.65,86.4,86.01,80326,69.09,1017,45497,56.64,,-0.1
GANESHHOUC, EQ, 01-Oct-2021,165.95,166.95,173.9,161.5,170.25,171.75,168.46,76348,128.61,1535,52121,68.27,,5.8
GANGAFORGE, EQ, 01-Oct-2021,15.1,15.2,15.3,14.8,14.85,15.15,15.01,1030634,154.74,1192,490637,47.61,,0.05
GANGESSECU, EQ, 01-Oct-2021,89.75,89.2,92.75,87.65,90.2,90.25,90.05,16099,14.5,403,10580,65.72,,0.5
GARFIBRES, EQ, 01-Oct-2021,3335.65,3333,3350,3301.25,3336.25,3329.05,3330.92,8276,275.67,1767,5777,69.8,,-6.6
GATI, EQ, 01-Oct-2021,136.15,135.1,138.15,135.1,136.8,137.15,136.68,246106,336.38,3124,116273,47.25,,1
GAYAHWS, BE, 01-Oct-2021,0.6,0.6,0.65,0.6,0.6,0.6,0.61,102705,0.63,21, -, -,,0
GAYAPROJ, EQ, 01-Oct-2021,50.2,49.9,50.6,49.2,50.45,50.2,49.98,766748,383.23,3511,366679,47.82,,0
GDL, EQ, 01-Oct-2021,236.35,237.9,248.15,231.05,248.15,248.15,246.86,741021,1829.28,4829,675744,91.19,,11.8
GEECEE, EQ, 01-Oct-2021,157.5,157,159.9,154.55,154.75,155.05,156.26,43041,67.25,1380,24318,56.5,,-2.45
GEEKAYWIRE, EQ, 01-Oct-2021,83.6,83.4,84.4,81.05,84,83.3,83.08,10061,8.36,179,7649,76.03,,-0.3
GENCON, EQ, 01-Oct-2021,42.85,43,43.2,42.1,42.55,42.55,42.68,19862,8.48,252,10590,53.32,,-0.3
GENESYS, EQ, 01-Oct-2021,207.6,217.95,217.95,217.95,217.95,217.95,217.95,30631,66.76,97,30631,100,,10.35
GENUSPAPER, BE, 01-Oct-2021,10.25,10.5,10.75,10.5,10.75,10.75,10.7,353274,37.79,642, -, -,,0.5
GENUSPOWER, EQ, 01-Oct-2021,72.35,72.95,73.9,71.15,73.65,73.35,72.94,755541,551.13,6876,389223,51.52,,1
GEOJITFSL, EQ, 01-Oct-2021,76.4,76.45,80.5,76.4,79.7,79.75,78.77,504566,397.46,5699,230567,45.7,,3.35
GEPIL, EQ, 01-Oct-2021,304.85,304,305,297.55,299.35,299.4,300.47,63660,191.28,3397,37673,59.18,,-5.45
GESHIP, EQ, 01-Oct-2021,368.7,365.3,374.8,365.1,365.1,367.25,369.43,168697,623.21,5286,49014,29.05,,-1.45
GET&D, EQ, 01-Oct-2021,128.6,127.5,128.8,126.6,127.45,127.4,127.38,122577,156.13,3220,63063,51.45,,-1.2
GFLLIMITED, EQ, 01-Oct-2021,74.05,74.05,78,73.05,75.8,76.4,75.95,188753,143.36,4066,103316,54.74,,2.35
GFSTEELS, EQ, 01-Oct-2021,2.6,2.7,2.7,2.7,2.7,2.7,2.7,273,0.01,3,273,100,,0.1
GHCL, EQ, 01-Oct-2021,445.45,441,454.8,432.1,447,448.85,445.15,662670,2949.85,16287,190472,28.74,,3.4
GICHSGFIN, EQ, 01-Oct-2021,151.1,150.85,150.85,147.6,148.75,148.55,149.1,172190,256.74,4161,83711,48.62,,-2.55
GICRE, EQ, 01-Oct-2021,145.05,144.85,145.4,142.5,144.25,144.2,143.88,751535,1081.33,11493,252199,33.56,,-0.85
GILLANDERS, BE, 01-Oct-2021,48.6,51,51,48.05,51,51,50.59,8816,4.46,50, -, -,,2.4
GILLETTE, EQ, 01-Oct-2021,5898.95,5868.1,5932,5861,5870,5869.15,5881.37,3341,196.5,1399,1882,56.33,,-29.8
GINNIFILA, EQ, 01-Oct-2021,33.5,32.2,33.8,32.2,32.95,32.75,32.88,43904,14.44,380,30635,69.78,,-0.75
GIPCL, EQ, 01-Oct-2021,86.1,87.4,88.45,85.2,85.5,85.55,86.73,907011,786.65,8713,419834,46.29,,-0.55
GISOLUTION, EQ, 01-Oct-2021,2.75,2.85,2.85,2.85,2.85,2.85,2.85,3247,0.09,18,3101,95.5,,0.1
GKWLIMITED, EQ, 01-Oct-2021,634,644,644.5,625.5,644,640.6,636.87,307,1.96,57,239,77.85,,6.6
GLAND, EQ, 01-Oct-2021,3719.9,3724,3763.95,3704,3731,3727.6,3730.9,64900,2421.35,12599,29642,45.67,,7.7
GLAXO, EQ, 01-Oct-2021,1480.75,1482,1487.9,1467,1469.6,1469.3,1474.59,59003,870.05,4094,43115,73.07,,-11.45
GLENMARK, EQ, 01-Oct-2021,510.45,508.9,514,505.95,512.5,513.15,510.39,1084023,5532.76,34284,342875,31.63,,2.7
GLOBAL, EQ, 01-Oct-2021,44.25,45.9,45.9,44.15,45.4,45.2,44.73,699,0.31,74,434,62.09,,0.95
GLOBALVECT, EQ, 01-Oct-2021,50.45,50.8,51.75,49,50.5,50.25,50.16,12387,6.21,300,6115,49.37,,-0.2
GLOBE, BE, 01-Oct-2021,12.05,12.05,12.05,11.8,11.95,11.9,11.92,290876,34.66,258, -, -,,-0.15
GLOBUSSPR, BE, 01-Oct-2021,1335.3,1335,1367,1285.75,1338.75,1336.4,1331.19,59899,797.37,3369, -, -,,1.1
GLS, EQ, 01-Oct-2021,679.95,675.45,679,673,674.55,673.9,674.74,64348,434.18,4487,36181,56.23,,-6.05
GMBREW, EQ, 01-Oct-2021,612.05,609.5,626.6,605,610.5,609.6,615.44,120945,744.34,11324,35684,29.5,,-2.45
GMDCLTD, EQ, 01-Oct-2021,74.95,73.5,76.85,73.45,75.1,75.4,75.21,2187842,1645.42,11374,678728,31.02,,0.45
GMMPFAUDLR, EQ, 01-Oct-2021,4418.7,4408,4445.5,4380.1,4405,4402.3,4409.46,10931,482,3021,6098,55.79,,-16.4
GMRINFRA, EQ, 01-Oct-2021,38.35,38.3,41.65,37.5,40.75,41,40.37,115868519,46775.27,154034,15912318,13.73,,2.65
GNA, EQ, 01-Oct-2021,943.45,945.9,964.5,930.3,950,950.8,948.27,92877,880.73,6053,60065,64.67,,7.35
GNFC, EQ, 01-Oct-2021,434.25,428,433.95,420.35,427,425.2,426.4,1211494,5165.78,21833,389782,32.17,,-9.05
GOACARBON, EQ, 01-Oct-2021,363.2,361.75,362.65,356,359.2,359.05,359.51,13682,49.19,814,6218,45.45,,-4.15
GOCLCORP, EQ, 01-Oct-2021,266.2,263.1,269.75,263,266.25,266.4,267.4,21297,56.95,1991,9000,42.26,,0.2
GODFRYPHLP, EQ, 01-Oct-2021,1195.7,1180,1290,1166.35,1255,1260.9,1230.95,617313,7598.82,39218,125931,20.4,,65.2
GODHA, BE, 01-Oct-2021,49.6,51.95,52.05,49.05,52.05,52.05,51.84,5424,2.81,69, -, -,,2.45
GODREJAGRO, EQ, 01-Oct-2021,640,636,643.95,628,631,631.2,632.09,93951,593.86,6378,53190,56.61,,-8.8
GODREJCP, EQ, 01-Oct-2021,1029.9,1029.2,1042.95,1006.15,1016.1,1020.35,1018.53,1190574,12126.37,51115,518504,43.55,,-9.55
GODREJIND, EQ, 01-Oct-2021,579.15,578.9,579,564,564.85,564.85,567.54,141118,800.91,6926,89590,63.49,,-14.3
GODREJPROP, EQ, 01-Oct-2021,2311.9,2312,2340,2205,2228.95,2233.3,2270.87,2125602,48269.6,84561,785084,36.93,,-78.6
GOENKA, BZ, 01-Oct-2021,1.2,1.25,1.25,1.15,1.2,1.2,1.21,78455,0.95,65, -, -,,0
GOKEX, EQ, 01-Oct-2021,194.8,196.5,204.5,190.8,204.5,203.8,201.06,404939,814.15,10449,262194,64.75,,9
GOKUL, EQ, 01-Oct-2021,28.05,27.75,28.2,27.4,27.75,27.75,27.7,42160,11.68,364,25845,61.3,,-0.3
GOKULAGRO, EQ, 01-Oct-2021,42.9,43,43.8,42.15,43.15,43,43.21,162128,70.06,1154,123240,76.01,,0.1
GOLDBEES, EQ, 01-Oct-2021,39.72,40.65,40.65,40,40.22,40.21,40.17,5920969,2378.67,68529,4386267,74.08,,0.49
GOLDENTOBC, EQ, 01-Oct-2021,149.6,157.05,157.05,157.05,157.05,157.05,157.05,17411,27.34,178,17410,99.99,,7.45
GOLDIAM, EQ, 01-Oct-2021,931.75,931.75,939.85,920,925,925.15,928.16,35806,332.34,3888,17260,48.2,,-6.6
GOLDSHARE, EQ, 01-Oct-2021,40.85,41.2,41.7,41.05,41.15,41.1,41.18,57383,23.63,410,47152,82.17,,0.25
GOLDTECH, BE, 01-Oct-2021,32.45,33.4,34.05,33,34.05,34.05,33.79,142886,48.28,435, -, -,,1.6
GOODLUCK, EQ, 01-Oct-2021,315.4,317.75,317.75,305.5,311.5,309.65,312.1,70975,221.51,2365,38855,54.74,,-5.75
GOODYEAR, EQ, 01-Oct-2021,1039.55,1031,1045,1026.05,1038,1038.15,1035.23,12515,129.56,1664,7411,59.22,,-1.4
GPIL, EQ, 01-Oct-2021,1278.95,1268.1,1315,1251,1281,1280.9,1280.46,82590,1057.53,5777,42894,51.94,,1.95
GPPL, EQ, 01-Oct-2021,110.6,110,110.3,106.8,107.25,107.65,108.83,958808,1043.51,13378,389132,40.58,,-2.95
GPTINFRA, EQ, 01-Oct-2021,83.85,83.85,93.65,83.3,91.6,91.65,90.16,250866,226.17,3659,92216,36.76,,7.8
GRANULES, EQ, 01-Oct-2021,320.35,319,328.3,318.1,327.35,327.25,324.33,1861380,6037.04,22217,570765,30.66,,6.9
GRAPHITE, EQ, 01-Oct-2021,604.55,599.9,604.35,596,598.5,599.1,600.15,336594,2020.07,11288,142763,42.41,,-5.45
GRASIM, EQ, 01-Oct-2021,1669.45,1659.95,1687.65,1635.5,1670,1677.15,1668.94,702503,11724.37,35928,214246,30.5,,7.7
GRAUWEIL, EQ, 01-Oct-2021,60.95,61.2,61.2,59.6,60,60,60.13,91767,55.18,1066,65006,70.84,,-0.95
GRAVITA, EQ, 01-Oct-2021,196.75,196.95,203.1,194.3,198.4,197.8,198.81,323097,642.34,6295,120530,37.3,,1.05
GREAVESCOT, EQ, 01-Oct-2021,137.25,137,138.1,135.3,136,135.85,136.68,965265,1319.32,13892,390990,40.51,,-1.4
GREENLAM, EQ, 01-Oct-2021,1374.65,1402,1402,1365.5,1370,1368.95,1373.76,3013,41.39,489,1863,61.83,,-5.7
GREENPANEL, EQ, 01-Oct-2021,309.65,306,325.1,304.05,325.1,325.1,318.47,279132,888.94,2649,191683,68.67,,15.45
GREENPLY, EQ, 01-Oct-2021,181.05,182.5,184.5,179.2,182.15,181.45,181.06,248353,449.68,3377,170394,68.61,,0.4
GREENPOWER, EQ, 01-Oct-2021,3.1,3.1,3.15,3.05,3.15,3.1,3.1,2120167,65.63,3398,1263391,59.59,,0
GRINDWELL, EQ, 01-Oct-2021,1372.65,1368,1436.9,1364.2,1436.9,1424.65,1404.12,244692,3435.78,8606,182327,74.51,,52
GRINFRA, EQ, 01-Oct-2021,1866.65,1869.95,1964,1869.95,1928.2,1930.9,1934.2,172721,3340.77,17580,51818,30,,64.25
GROBTEA, EQ, 01-Oct-2021,978.75,1000,1076.6,980,1076.6,1076.6,1017.74,3418,34.79,1014,776,22.7,,97.85
GRPLTD, EQ, 01-Oct-2021,929.8,923,937.7,906.05,918.9,917.2,919.16,2003,18.41,270,1204,60.11,,-12.6
