SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,,change
CHOLAHLDNG, EQ, 01-Oct-2021,688.25,680,702.3,680,697,697.65,692.33,16156,111.85,2588,7180,44.44,,9.4
CIGNITITEC, EQ, 01-Oct-2021,611.3,607,614,599.05,602.8,605.55,604.16,80215,484.62,3748,42042,52.41,,-5.75
CINELINE, BE, 01-Oct-2021,108.5,108.5,111,107.1,108.1,108.1,108.74,32397,35.23,229, -, -,,-0.4
CINEVISTA, BE, 01-Oct-2021,14.3,15,15,14,15,15,14.96,194309,29.06,211, -, -,,0.7
CIPLA, EQ, 01-Oct-2021,983.55,980,991.9,973.1,984.05,986.2,984.34,1948517,19180.09,43634,847560,43.5,,2.65
CLEAN, EQ, 01-Oct-2021,2047.25,2040,2128.7,2020.25,2096.4,2096.5,2085.19,623622,13003.71,38898,186011,29.83,,49.25
CLEDUCATE, EQ, 01-Oct-2021,73.6,74.95,77.25,74.05,77.25,77.25,76.59,128657,98.54,1746,74497,57.9,,3.65
CLNINDIA, EQ, 01-Oct-2021,562.7,565,575.6,560,566.95,568.4,568.91,47582,270.7,3599,17709,37.22,,5.7
CLSEL, EQ, 01-Oct-2021,123.4,123.4,124.9,122,124.9,123.65,123.18,42215,52,1348,26735,63.33,,0.25
CMICABLES, EQ, 01-Oct-2021,42.9,42.5,46,42.1,45.2,45.2,44.41,90767,40.31,943,56941,62.73,,2.3
CMMIPL, SM, 01-Oct-2021,18,17.75,17.75,17.75,17.75,17.75,17.75,3000,0.53,1,3000,100,,-0.25
COALINDIA, EQ, 01-Oct-2021,185.1,185.4,189.9,182.4,188.8,188.7,186.81,25492957,47622.3,129320,6074541,23.83,,3.6
COCHINSHIP, EQ, 01-Oct-2021,362.85,361.95,363.9,359.1,359.65,359.85,360.73,147752,532.99,5088,78939,53.43,,-3
COFFEEDAY, EQ, 01-Oct-2021,30.8,30.2,32.3,30.05,32.3,32.2,31.64,1605792,508.04,6626,1061484,66.1,,1.4
COFORGE, EQ, 01-Oct-2021,5241.3,5209,5325,5175.05,5277,5279.5,5263.29,264231,13907.24,35242,80050,30.3,,38.2
COLPAL, EQ, 01-Oct-2021,1669.5,1669.6,1691.95,1656.5,1689.5,1687.8,1674.19,225346,3772.73,19055,95033,42.17,,18.3
COMPINFO, EQ, 01-Oct-2021,26,25.85,26.5,25.55,26,25.95,25.93,138108,35.81,779,81254,58.83,,-0.05
COMPUSOFT, EQ, 01-Oct-2021,14.5,14.8,15.2,14.25,15.2,15.2,14.98,600827,90.02,1466,379534,63.17,,0.7
CONCOR, EQ, 01-Oct-2021,704.3,706.3,710.6,692.15,702,703.5,703.21,1255262,8827.15,32311,532525,42.42,,-0.8
CONFIPET, EQ, 01-Oct-2021,82.85,82.1,86.7,82.1,85.5,84.85,84.21,1826105,1537.67,12073,908781,49.77,,2
CONSOFINVT, EQ, 01-Oct-2021,140.5,137.1,142,137,142,139.8,139.43,9284,12.94,160,8276,89.14,,-0.7
CONTROLPR, EQ, 01-Oct-2021,331.8,329.75,338.95,325.55,329,329.2,329.61,12635,41.65,823,8830,69.89,,-2.6
CORALFINAC, EQ, 01-Oct-2021,43.75,43.05,45.5,42.5,44.7,44.5,44.24,41043,18.16,561,22823,55.61,,0.75
CORDSCABLE, EQ, 01-Oct-2021,53.45,53.45,53.85,52.5,53.8,53.3,53.23,26481,14.09,459,16718,63.13,,-0.15
COROMANDEL, EQ, 01-Oct-2021,794.45,790.8,802,788.1,801.8,799.9,796.06,236040,1879.02,13769,70544,29.89,,5.45
COSMOFILMS, EQ, 01-Oct-2021,1493.45,1483.25,1490,1461.2,1475,1471.05,1475.05,47875,706.18,4343,21550,45.01,,-22.4
COUNCODOS, EQ, 01-Oct-2021,2.85,2.9,2.9,2.8,2.9,2.85,2.85,68004,1.94,122,64296,94.55,,0
COX&KINGS, BZ, 01-Oct-2021,1.6,1.65,1.65,1.6,1.65,1.65,1.62,198748,3.22,182, -, -,,0.05
CPSEETF, EQ, 01-Oct-2021,30.52,30.6,31,30.24,30.48,30.58,30.65,6349761,1945.93,18868,4890148,77.01,,0.06
CRAFTSMAN, EQ, 01-Oct-2021,2109.75,2090,2124.9,2049.5,2115,2106.8,2098.24,19447,408.04,4143,10881,55.95,,-2.95
